Date,Price,Open,High,Low,Vol.,Change %
09/04/2022,139.96,135.88,141.09,135.29,28.64M,2.04%
08/28/2022,137.16,141.30,142.69,136.55,33.41M,-3.61%
08/21/2022,142.29,148.98,150.13,142.02,28.74M,-4.97%
08/14/2022,149.73,146.87,150.63,146.74,28.27M,2.09%
08/07/2022,146.67,145.03,147.29,144.49,24.10M,1.35%
07/31/2022,144.72,138.34,146.46,138.27,37.60M,4.18%
07/24/2022,138.91,142.80,148.61,138.23,41.95M,-2.87%
07/17/2022,143.02,144.94,145.09,138.95,34.23M,-1.41%
07/10/2022,145.07,145.15,146.96,143.47,26.89M,0.03%
07/03/2022,145.02,144.58,147.49,142.54,22.16M,-0.75%
06/26/2022,146.11,144.12,146.25,140.58,30.24M,1.22%
06/19/2022,144.35,134.62,145.24,133.43,43.25M,9.06%
06/12/2022,132.36,139.50,140.49,129.50,57.50M,-6.76%
06/05/2022,141.95,147.37,147.64,139.45,25.30M,-2.70%
05/29/2022,145.89,147.29,148.99,142.63,30.65M,-1.90%
05/22/2022,148.72,142.84,148.72,142.08,34.29M,4.89%
05/15/2022,141.79,153.47,156.75,139.18,39.63M,-7.70%
05/08/2022,153.62,153.96,156.76,149.88,38.96M,-1.53%
05/01/2022,156.00,161.60,162.00,153.14,43.99M,-2.83%
04/24/2022,160.55,161.70,163.71,159.11,41.46M,-0.43%
04/17/2022,161.25,158.48,164.90,156.30,42.89M,1.69%
04/10/2022,158.57,159.95,161.21,158.45,26.43M,-0.96%
04/03/2022,160.10,153.81,160.53,151.26,35.46M,3.23%
03/27/2022,155.09,153.64,156.47,151.94,28.94M,1.48%
03/20/2022,152.83,150.44,153.92,149.24,29.01M,1.78%
03/13/2022,150.15,144.45,151.79,143.35,46.32M,4.84%
03/06/2022,143.22,154.49,154.52,143.03,41.24M,-7.68%
02/27/2022,155.14,156.29,157.19,152.34,39.18M,-1.96%
02/20/2022,158.24,160.11,160.88,150.56,36.46M,-1.04%
02/13/2022,159.90,156.14,161.06,153.36,41.44M,2.31%
02/06/2022,156.29,161.87,162.26,155.58,35.93M,-3.24%
01/30/2022,161.53,159.35,164.98,157.73,42.23M,0.64%
01/23/2022,160.50,163.43,164.12,156.38,53.50M,-1.30%
01/16/2022,162.62,158.53,165.35,156.04,46.78M,1.76%
01/09/2022,159.81,162.51,163.12,156.91,44.40M,-1.80%
01/02/2022,162.74,161.69,165.32,159.88,41.56M,-0.51%
12/26/2021,163.58,160.67,164.98,160.61,27.06M,2.17%
12/19/2021,160.10,156.60,160.92,156.57,28.42M,1.68%
12/12/2021,157.46,155.30,161.72,154.91,61.98M,1.29%
12/05/2021,155.46,150.19,155.80,150.19,43.68M,3.72%
11/28/2021,149.88,147.79,150.00,144.12,47.79M,1.63%
11/21/2021,147.47,146.97,149.71,146.83,26.50M,0.44%
11/14/2021,146.82,147.03,148.59,146.42,29.80M,0.18%
11/07/2021,146.56,145.50,147.31,144.02,27.85M,0.36%
10/31/2021,146.04,143.36,146.37,142.28,35.08M,2.13%
10/24/2021,142.99,140.41,143.68,139.05,32.04M,1.53%
10/17/2021,140.83,143.55,143.70,138.80,37.84M,-2.49%
10/10/2021,144.42,142.37,144.87,141.02,32.12M,1.90%
10/03/2021,141.73,139.39,143.03,137.60,29.52M,1.54%
09/26/2021,139.58,143.15,143.17,138.32,30.75M,-2.77%
09/19/2021,143.55,144.22,144.85,141.97,33.40M,-0.55%
09/12/2021,144.34,144.85,147.23,142.82,46.90M,0.15%
09/05/2021,144.13,144.32,144.94,143.01,25.52M,0.06%
08/29/2021,144.05,142.60,144.73,142.05,30.56M,1.22%
08/22/2021,142.31,144.29,145.34,141.47,22.44M,-1.92%
08/15/2021,145.09,143.67,145.98,143.16,31.84M,1.01%
08/08/2021,143.64,141.95,143.99,141.66,24.05M,1.58%
08/01/2021,141.41,141.77,144.21,140.80,33.49M,-0.58%
07/25/2021,142.23,139.62,144.54,138.71,41.35M,1.75%
07/18/2021,139.79,140.32,141.98,136.71,38.56M,-0.51%
07/11/2021,140.51,136.90,140.78,136.37,35.02M,2.54%
07/04/2021,137.03,135.52,137.65,135.36,25.60M,0.83%
06/27/2021,135.90,134.90,136.63,133.82,29.13M,0.73%
06/20/2021,134.92,132.69,135.54,132.32,50.92M,2.19%
06/13/2021,132.03,134.98,135.64,131.94,42.66M,-2.10%
06/06/2021,134.86,136.36,136.84,133.90,38.69M,-0.80%
05/30/2021,135.95,135.79,136.62,132.48,36.39M,0.82%
05/23/2021,134.85,138.00,138.86,134.64,66.82M,-2.28%
05/16/2021,138.00,137.97,139.07,135.59,45.67M,-0.01%
05/09/2021,138.01,135.89,139.10,135.39,43.42M,2.12%
05/02/2021,135.15,134.03,136.03,133.37,42.06M,1.30%
04/25/2021,133.42,133.49,133.76,130.29,40.45M,-0.39%
04/18/2021,133.94,136.94,138.59,133.25,41.70M,-2.41%
04/11/2021,137.25,136.50,137.90,134.58,38.84M,0.65%
04/04/2021,136.37,134.96,137.63,134.73,36.75M,1.56%
03/28/2021,134.28,135.00,137.60,133.33,37.59M,-0.86%
03/21/2021,135.45,128.01,135.61,128.01,44.24M,5.81%
03/14/2021,128.01,128.39,129.98,127.04,46.98M,-0.10%
03/07/2021,128.14,125.76,128.91,125.32,40.62M,1.71%
02/28/2021,125.98,124.16,126.33,121.54,46.20M,1.98%
02/21/2021,123.53,126.79,129.93,121.82,49.89M,-2.82%
02/14/2021,127.12,127.97,129.85,126.99,32.65M,-0.39%
02/07/2021,127.62,129.93,130.10,126.58,36.07M,-1.50%
01/31/2021,129.57,129.00,130.72,127.75,32.35M,1.06%
01/24/2021,128.21,129.95,133.47,127.44,43.05M,-1.38%
01/17/2021,130.00,135.70,136.36,129.99,37.66M,-3.55%
01/10/2021,134.78,138.75,139.44,134.66,33.58M,-2.89%
01/03/2021,138.79,139.66,141.04,136.27,40.57M,-0.25%
12/27/2020,139.14,138.15,139.94,137.39,16.19M,1.03%
12/20/2020,137.72,137.96,138.43,136.13,20.35M,-0.95%
12/13/2020,139.04,137.02,140.07,135.77,44.66M,1.85%
12/06/2020,136.51,136.61,138.78,134.20,33.53M,-0.70%
11/29/2020,137.47,138.00,139.94,135.54,41.13M,-0.82%
11/22/2020,138.61,139.32,139.95,137.53,24.54M,-0.50%
11/15/2020,139.30,144.78,144.78,138.45,30.48M,-3.45%
11/08/2020,144.28,146.15,146.92,137.15,38.17M,0.73%
11/01/2020,143.23,138.51,144.07,137.44,29.12M,4.47%
10/25/2020,137.10,141.50,143.34,134.68,32.21M,-3.71%
10/18/2020,142.38,144.47,145.69,141.08,28.44M,-1.39%
10/11/2020,144.39,143.33,145.87,142.89,25.97M,1.03%
10/04/2020,142.92,138.72,143.64,138.30,28.14M,3.48%
09/27/2020,138.12,138.56,139.99,136.66,30.82M,0.36%
09/20/2020,137.62,137.00,139.03,134.70,28.87M,0.18%
09/13/2020,137.37,138.44,140.17,136.19,29.71M,-0.56%
09/06/2020,138.14,138.52,139.56,135.04,22.49M,0.13%
08/30/2020,137.96,138.19,141.70,136.12,34.37M,-0.58%
08/23/2020,138.77,137.49,139.69,136.95,27.21M,0.97%
